,doi,chunk,abstract_bool,text,definition_bool,table_bool,definition
10,ponds1,9,True,"Taking into account the spatial aspect of environmental parameter distribution between particular crater ponds, significant variation was observed for conductivity (KW-H
3,30 = 29, p < 0.01), with the highest values recorded in pond No. II, DIN concentration (KW-H 3,30 = 22.56, p < 0.01), with the highest values found in pond No. III and finally, chlorophyll a content (KW-H 3,30 = 10.37, p < 0.05), with the highest values observed in crater No. III (Table II).",False,True,
11,ponds1,10,True,"## > ZOOPLANKTON COMMUNITY STRUCTURE
There were 49 zooplankton species identified in total (16 species of Cladocera, 6 of Copepoda and 27 of Rotifera). Even though there were more rotifer species obtained in total, crustaceans revealed a slightly more variable taxonomic composition on average (Table II). Moreover, six rare or not commonly occurring species for Polish fauna (Flössner, 1972;Radwan et al., 2004)
Table III Dominating species in the examined water bodies in particular seasons. pond I II III IV I II III IV I II season spring summer autumn Rotifera Anuraeopsis fissa (Gosse) x Euchlanis dilatata Ehrenberg x Keratella paludosa (Lucks) x x x Lecane elsa Hauer x x Lepadella ovalis (O.F. Müller) x Lepadella patella (O.F. Müller) x x x Platyias quadricornis (Ehrenberg) x Rotaria sp. x x x x x x x x x x Crustacea Alonella excisa (Fischer) x Bosmina longirostris (O.F. Müller) x Chydorus sphaericus (O.F. Müller) x x Daphnia longispina O.F. Müller x Daphnia pulex (De Geer) x x x x x x Pleuroxus trigonellus (O.F. Müller) x Scapholeberis mucronata (O.F. Müller) x Megacyclops viridis (Jurine) x x x were identified in the studied ponds: Lecane elsa Hauer, Keratella paludosa (Lucks), Notommata glyphura Wulfert, Daphnia curvirostris Eylmann, Pleuroxus trigonellus (O.F. Müller) and Tretocephala ambigua Lilljeborg Rotifer species composition revealed an increasing pattern of seasonal distribution, being most variable (12 ± 2 species on average) in the autumn. Crustaceans were taxonomically richest during the summer season (12 ± 2.1 species on average) (Table II). On analysing the distribution of zooplankton species richness between particular ponds it was found that crater pond No. III was characterised by the lowest mean number of rotifer species and highest of crustaceans, while in pond No. IV the opposite pattern, with the greatest variation in rotifer species and lowest in crustaceans, was observed (Table II). It was found that bdelloids, Lecane elsa, Cephalodella gibba (Ehrenberg), Lepadella patella (O.F. Müller), Keratella cochlearis (Gosse), Lecane closterocerca (Schmarda) and Platyias quadricornis (Ehrenberg) from among rotifers and also Daphnia pulex (De Geer), Megacyclops viridis (Jurine), Bosmina longirostris (O.F. Müller), Ceriodaphnia laticaudata P.E. Müller, Pleuroxus trigonellus and Simocephalus exspinosus (Koch) occurred with the highest frequency (>50%) in the examined material. Rotifer densities, unlike the species composition, reached significantly higher (KW-H 2,30 = 3.19, p < 0.01) densities on average compared with crustaceans (Table II). After analysing temporal distribution, only crustaceans revealed significant differences (KW-H 2,30 = 22.15, p < 0.01), with the highest abundance during the summer season. In the case of rotifers there was a trend of increasing density, starting from the spring and reaching a maximum in the autumn (Table II); however, this was not significant (p > 0.05). Rotifers reached on average 5107 ind L -1 in the autumn season, which was a result of a mass occurrence of Rotaria sp. (Tables II and III). Only densities of rotifers differed between particular ponds (KW-H 3,30 = 18.51, p < 0.01), with the highest values obtained for pond No. I due to the mass domination of Anuraeopsis fissa (Gosse) and Rotaria sp. (Tables II and III). The structure of dominance was created by 16 species -8 rotifers and 8 crustaceans. Only bdelloids (mainly Rotaria sp.) among rotifers dominated in all the seasons and in each sample. Also, one species from among crustaceans -Daphnia pulex -occurred as a dominating species in each season. The rest of the species had only one season of domination.",False,True,
12,ponds1,11,True,"## Table IV
The correlation ratios between the densities of particular species or % participation of littoral and pelagic species abundance and physical-chemical variables (pH, conductivity, dissolved inorganic nitrogen -DIN, chlorophyll aconcentration -chl a) in the examined small water bodies.",False,True,
13,ponds1,12,True,"## Parameter
r p Anuraeopsis fissa vs. chl a 0.679 <0.05 Bdelloidea vs. chl a 0.674 <0.05 Scapholeberis mucronata vs. pH 0.860 <0.01 % littoral species vs. conductivity -0.811 <0.01 % pelagic species vs. conductivity 0.813 <0.01 Species such as Keratella paludosa, Bosmina longirostris, Daphnia longispina O.F. Müller and Megacyclops viridis dominated exclusively in the spring, Euchlanis dilatata Ehrenberg, Lecane elsa, Lepadella ovalis (O.F. Müller), Lepadella patella, Platyias quadricornis, Alonella excisa (Fischer), Chydorus sphaericus (O.F. Müller), Pleuroxus trigonellus and Scapholeberis mucronata (O.F. Müller) in the summer, and finally, Anuraeopsis fissa in the autumn.The most variable domination structure was observed in the summer, while the least complex was found in the autumn. Only two species dominated in all the examined crater ponds, while nine exclusively dominated in only one crater (Table III).The Shannon-Weaver index of zooplankton diversity varied significantly among the seasons, with higher mean values among both groups-rotifers (KW-H 2,30 = 12.13, p < 0.05) and crustaceans (KW-H 2,30 = 8.02, p < 0.05) -in the summer season. No significant variation was obtained for comparison of the Shannon-Weaver index between particular ponds (Table II).Most of the relationships concerned the densities of particular zooplankton species and physical-chemical variables. Anuraeopsis fissa and bdelloids correlated positively with chlorophyll a concentration, while Scapholeberis mucronata correlated with pH level. Conductivity positively affected the occurrence of pelagic species and negatively influenced littoral species abundance (Table IV).",False,True,
14,ponds1,13,True,"## DISCUSSION
Small aquatic ecosystems contribute to the enrichment of the local biodiversity. The examination of unique types of water bodies, such as meteor crater ponds, resulted in the identification of rare species (e.g. Keratella paludosa, Notommata glyphura, Daphnia curvirostris and Tretocephala ambigua), some of which were dominating species. This would indicate that a need exists for the protection of such ecosystems, especially if they are situated in association with urban areas, such as the city of Pozna ń. This whole group of rare species made up over 12% of the taxonomic structure, which also underlines the great variation and specificity of these aquatic ecosystems.",False,False,
15,ponds1,14,True,"Seasonality is an aspect of the functioning of aquatic ecosystems which is widely discussed, mainly in relation to lakes ( Čiamporová-Zaovi čová and Čiampor, 2011). In the case of small water bodies, due to unfavourable morphometric features and very changeable environmental factors it may be difficult to predict any pattern of abundance distribution or the occurrence of particular species. This is particularly the case when the studied ponds are of an astatic character, such as meteor craters, which are characterised by dramatic changes in the water level. Four ponds underwent analyses; however, two of them (Nos. III and IV) dried out in the autumn season. Therefore, many species which inhabit such aquatic ecosystems must be opportunists, well specialised and adapted to such unfavourable conditions. As a result of our examination, the presence of 49 zooplankton species was found in total; however, a temporal and spatial differentiation was also noticed. The least various taxa composition was found to be in the spring, when TP and chlorophyll a concentrations were also lowest. A more variable taxonomic structure was recorded in the autumn, and especially in the summer, when DIN content was highest. Although the values of the Shannon-Weaver index of zooplankton diversity were not very high on average, due to the temporal character of some of the investigated ponds, they were highest during the optimum summer season, before half of the ponds dried out. A spatial differentiation of taxonomic richness in relation to particular ponds was also found, especially when two groups of craters were compared -permanent (ponds I and II) and temporal (ponds III and IV). The highest species richness of zooplankton was attributed to astatic ponds, where rotifers prevailed in crater No. IV and crustaceans in crater No. III. At the same time, the lowest values occurred inversely in these two ponds, which reflects niche segregation between both groups of animal plankton.",False,False,
16,ponds1,15,True,"There were thirteen taxa (over 25% of the taxonomic structure) whose frequency was higher than 50%, which indicates a great variation in environmental factors among particular crater ponds and study seasons. Most of them represented large-bodied crustaceans and littoralassociated rotifers. Only three of these species (Keratella cochlearis, Bosmina longirostris and Daphnia pulex) were strictly pelagic (Flössner, 1972;Pejler, 1995), so the optimum of their occurrence is usually found in the pelagic zone. The occurrence of D. pulex, which dominated throughout all the seasons, strongly indicates the lack or very weak pressure of predation attributed to these ponds. When fish are absent, invertebrate predators develop abundant communities. Therefore, we found a large representation of larvae of Culex sp. and Chaoborus sp. in our ponds ( Świdnicki et al., 2010), which must have had an impact on a smaller fraction of zooplankton such as rotifers. Thus, rotifer species with specific anti-predator adaptations, e.g. Keratella cochlearis, that has evolved long, bristle-like spines (Pejler, 1995), could successfully develop in such conditions. Among species with the highest frequency, representatives typical of small water bodies (e.g. bdelloids, Lecane elsa, Daphnia pulex, Megacyclops viridis, Ceriodaphnia laticaudata) were observed. Most of them possessed adaptations to living in astatic reservoirs such as, e.g., M. viridis, which willingly inhabits temporary water bodies as it can use a diapause to survive the dry season (Rybak and Bł ȩdzki, 2010).Furthermore, a seasonal variation in zooplankton abundance was also obtained, with the maximum mean numbers obtained in the autumn in the case of rotifers and in the summer in the group of crustaceans. The lowest densities for both groups of animals were found in the springtime. Nogrady et al. (1993) refer to temperature as one of the essential factors influencing the seasonal succession of rotifers in water bodies located in a temperate climate.",False,False,
17,ponds1,16,True,"Anuraeopsis fissa, which occurred in the examined water bodies as a dominating species in the autumn samples, is a warm stenoterm organism. It prefers a wide range of pH, although it builds its most abundant communities in neutral waters with a high concentration of detritus (B ẽrzinš and Pejler, 1987). Therefore, food availability and quality, reflected by the highest content of chlorophyll a in the summer and autumn and lowest in the spring, may also contribute to seasonal variation in zooplankton abundance. What is also very important is that A. fissa easily adapts to oxygen deficiency or even to a lack of oxygen (Radwan et al., 2004). In the examined ponds very low concentrations of dissolved oxygen were recorded (unpublished data); therefore, A. fissa was able to build such an abundant population during the autumn season.",False,False,
18,ponds1,17,True,"Despite the fact that all the ponds were of the same origin and were situated within a short distance of each other, they differed not only in reference to species composition and community density; their dominating structure varied greatly. Only two species out of 16 dominants were common for all the ponds and seasons, which was connected with the temporary nature of most of these craters. One of them was Daphnia pulex, a species characteristic of temporary water bodies, which is well acclimatised to low oxygen concentrations and exhibits a wider capacity for respiration that is relatively ""insensitive"" to changing oxygen levels. Moreover, D. pulex is able to synthesise haemoglobin, which is also a well-known phenomenon for adapting to low oxygen content (Weider and Lampert, 1985). This is why it was among the dominating species in all the examined meteorite crater ponds and in each season. However, although D. pulex was a frequent dominant, a variable crustacean community occurred. This is contrary to the fact that in water bodies which are characterised by a dominance of large daphnids, small zooplankton species are scarce (Arnott and Vanni, 1993). The explanation for this phenomenon may be connected with the specificity of the examined ponds, where a thick layer of bottom sediments may have created an additional ecological niche for the inhabiting organisms. Among rotifers, bdelloids were found to dominate in each season and in each water body, and contributed to the extremely high densities of rotifers reached in the autumn. They are a class of the phylum Rotifera, having obligatory parthenogenetic reproduction and being able to withstand harsh periods through anhydrobiosis. They are typically a part of benthos or periphyton; however, some bdelloid species (e.g. Rotaria) can be found occasionally in the plankton (Ricci and Melone, 2000), which was the case in the present study. The mass domination of Rotaria occurred as the examined water bodies were at the level of drying up. This is consistent with bdelloid's fantastic ecological adaptability, as they can easily shift from an active to an anhydrobiotic stage, which helps them to live in particularly ephemeral, even predominantly dry conditions (Segers, 2008).",False,False,
19,ponds1,18,True,"The occurrence of zooplankton depends on a variety of environmental factors; however, it is often difficult to predict its response to changes in an astatic ecosystem, such as a meteorite crater. However, conductivity, which is a useful measure of water quality and which can indicate industrial pollution or urban runoff, can influence the distribution of a variety of organisms in small water bodies (Dalu et al., 2012). It had the contrasting effect on two groups of studied zooplankton of various ecological requirements. Its higher values stimulated the abundance of pelagic species, while densities of littoral species were restricted along with the increase in the conductivity level. Among pelagic species the presence of indicators of high trophic conditions (e.g. Anuraeopsis fissa, Bosmina longirostris or Chydorus sphaericus) was obtained. This can confirm a positive relationship with conductivity, which is usually higher in contaminated and highly eutrophic waters. Moreover, trophic conditions, assessed using the Carlson (1977) classification, also acknowledged the eutrophy of the water throughout the whole examination period.It is known that some freshwater organisms positively correlate with the rates of primary production; however, as zooplankton are usually able to control phytoplankton biomass, such a relationship is rarely observed in nature (Kobayashi, 1997). In the examined ponds Anuraeopsis fissa and bdelloids corresponded positively with chlorophyll a concentration. Bdelloids are described as feeding mainly on suspended organic particles and A. fissa feeds exclusively on detritus and bacteria (Pourriot, 1977). This is why they appeared not to control the algae abundance in the case of the meteor ponds.The protection of the area of meteorite fall as a nature reserve resulted in preserving a natural wet-ground forest and the reduction of the negative effect of the closely situated urban area. Limitation of human activities in the catchment area of water bodies contributes to the maintenance of a variation of assemblages of organisms specific to these unique aquatic ecosystems, as was found in the investigated meteor crater ponds, which in far too many cases are exposed to extinction.",False,False,
20,ponds1,19,True,"### Figure 1
**Caption:** Figure 1 Map of the nature reserve Meteorite Morasko with location of examined craters (numbers I-IV) (http:// morasko2.republika.pl, changed) and its location in the Wielkopolska region and Poland.## ACKNOWLEDGEMENTS
This work was partly supported by the Polish Committee for Scientific Research (KBN) under grant No. N N305 042739.",False,False,
21,lakes3,-1,True,,,,
22,lakes3,0,True,"# PATTERNS IN THE SPECIES COMPOSITION AND RICHNESS OF FISH ASSEMBLAGES IN NORTHERN WISCONSIN LAKES'
## Abstract
Fish assemblage structure, and factors and mechanisms appearing important in the ecological maintenance of these structures, were examined for 18 small lakes in northern Wisconsin during summer and winter. The study was focused around the following questions. Are there discrete, repeatable groups of fish assemblages? If so, are they temporally stable? What are the relations between fish assemblage structure and habitat complexity, physical disturbance, biotic interactions, and the insular nature of small lakes? A comparative approach was used to generate hypotheses and propose explanations concerning the roles of these factors in structuring the assemblages.Multivariate classification, ordination, and discriminant analyses helped discern two assemblage types: Umbra-cyprinid and centrarchid-Esox. Each had a distinctive species composition and seasonal change in composition. Environmental characteristics of the lakes occupied by each assemblage type also differed consistently.The type of assemblage present in a lake appeared related to oxygen concentrations in winter, interacting with the availability of refuges from either a severe physical environment (low oxygen during winter) or from large piscivores. Centrarchid-Esox assemblages occurred in lakes with high winter oxygen levels, and also in lakes with low oxygen levels if a stream or connecting lake could provide a refuge from these conditions in winter. When no refuge was present, low winter oxygen lakes lacked piscivorous fishes, but contained Umbra-cyprinid assemblages.The relationships between species richness in summer and environmental factors were generally similar for the two assemblage types, but the relative importance of individual factors differed. In winter, richness relationships in centrarchid-Esox assemblages for most environmental factors were reversed from those of summer. No significant seasonal change occurred in the Umbra-cyprinid assemblages.Habitat complexity factors, particularly vegetation diversity, were significantly related to summer species richness in both assemblage types. Lake area was also related to summer richness for both types, but the slope of the species-area regression was much steeper for Umbra-cyprinid assemblages than for those in centrarchid-Esox lakes. Species richness relationships with winter oxygen concentration were negative in both seasons in Umbra-cyprinid lakes, but the relationship was positive for centrarchid-Esox assemblages in winter. A measure of lake connectedness was related to summer richness in centrarchid-Esox lakes. These patterns suggest that centrarchid-Esox assemblages are in ecological equilibrium but that a disturbance-induced disequilibrium occurs in Umbra-cyprinid assemblages.",False,False,
23,lakes3,1,True,"## INTRODUCTION
Our paper examines patterns in the species composition, richness (diversity), and seasonal dynamics of the fish assemblages in 18 small lakes in northern Wisconsin, and discusses factors and mechanisms which appear important in the ecological maintenance of assemblage structure. We addressed the following questions:
1) Are there discrete types of fish assemblages that are repeatable in many lakes?2) If so, are they temporally stable in the face of seasonally (and probably unpredictably) harsh environmental conditions?3) What are the relations between fish assemblage structure and habitat complexity, physical disturbance and biotic interactions'?1 Manuscript received 21 January 1981; revised 15 September 1981;accepted 29 September 1981. 4) To what extent does the insular nature of small lakes contribute to the composition and structure of their fish assemblages?",False,False,
24,lakes3,2,True,"## Species diversity theories
The ecological literature provides a plethora of theories and hypotheses to explain differences in species diversity among communities. Although all hypotheses are somewhat distinct, they can be grouped together into two major theories; one proposes mechanisms based on equilibrium conditions, the other on the absence of equilibrium (see discussions in Mac Arthur 1972, Connell 1978, Huston 1979).Equilibrium-based mechanisms are inseparably linked to niche structure in communities. In saturated communities, richness is proposed to be a function of the number of discrete resources available, the tolerable niche overlap and minimum niche size possible along a resource gradient, or both (Pianka 1975, 1978, Menge and Sutherland 1976, Connell 1978). If the tolerable niche overlap and minimum niche size are relatively constant (Roughgarden 1974, Werner 1977), species richness should depend upon habitat complexity. Similarly, more productive habitats allow greater dietary specialization and should support more species (Mac Arthur 1972). Equilibrium theories also predict higher diversities in more stable and/or predictable environments (Slobodkin and Sanders 1969). Some ecologists have questioned how often communities meet the assumptions and conditions of equilibrium and propose that nonequilibrium mechanisms dominate (e.g., Wiens 1977, Connell 1978, Huston 1979). Under nonequilibrium conditions, less efficient or poorly adapted species can persist without competitive exclusion, thereby increasing diversity. Competition-induced specialization cannot evolve over ecological time, so if competition does occur under equilibrium conditions, diversity will be reduced by competitive exclusion. At intermediate levels of disturbance a ""dynamic equilibrium"" of increased diversity can be maintained (Connell 1978, Huston 1979).At these levels, disturbances are sufficiently frequent or intense to prevent the community from reaching equilibrium, but still allow some populations to recover.A severe environment that might otherwise be expected to produce a depauperate community may instead produce a more diverse community if refuges are present, reducing the severity. Refuges can also reduce the impact of predation and competition (Dodson 1970, Dayton 1971, Thomson and Lehner 1976), resulting in increased diversity. Woodin (1978) identified five categories of spatial and temporal refuges and argued that communities could be viewed as combinations of species successfully exploiting these refuges.",False,False,
